 
PGA:,  0.79 g
PGV:,  125.29 cm/s
PGD:,  106.90 cm
Arias Intensity:,  766.62 cm/s
Significant duration:,  28.55 s
 
 
Damping ratio for spectra:  0.05

 
period [s]	SD. [cm]	PSV [cm/s]	PSA [g]
0.0010	, 0.000	, 0.123	, 0.790
0.1010	, 0.260	, 16.170	, 1.025
0.2010	, 1.071	, 33.488	, 1.067
0.3010	, 2.095	, 43.741	, 0.931
0.4010	, 3.116	, 48.823	, 0.780
0.5010	, 4.594	, 57.614	, 0.737
0.6010	, 8.569	, 89.585	, 0.955
0.7010	, 10.541	, 94.478	, 0.863
0.8010	, 14.279	, 112.008	, 0.896
0.9010	, 18.571	, 129.505	, 0.921
1.0010	, 32.498	, 203.985	, 1.305
1.1010	, 45.990	, 262.454	, 1.527
1.2010	, 40.895	, 213.948	, 1.141
1.3010	, 35.715	, 172.485	, 0.849
1.4010	, 37.185	, 166.767	, 0.762
1.5010	, 39.725	, 166.291	, 0.710
1.6010	, 45.395	, 178.153	, 0.713
1.7010	, 46.902	, 173.248	, 0.652
1.8010	, 48.866	, 170.480	, 0.606
1.9010	, 69.891	, 231.005	, 0.778
2.0010	, 77.271	, 242.632	, 0.777
2.1010	, 74.911	, 224.027	, 0.683
2.2010	, 69.614	, 198.728	, 0.578
2.3010	, 63.046	, 172.156	, 0.479
2.4010	, 59.717	, 156.273	, 0.417
2.5010	, 64.994	, 163.284	, 0.418
2.6010	, 67.506	, 163.072	, 0.402
2.7010	, 67.170	, 156.254	, 0.371
2.8010	, 68.144	, 152.860	, 0.350
2.9010	, 74.400	, 161.140	, 0.356
3.0010	, 76.232	, 159.606	, 0.341
3.1010	, 80.950	, 164.019	, 0.339
3.2010	, 79.210	, 155.480	, 0.311
3.3010	, 85.506	, 162.754	, 0.316
3.4010	, 98.559	, 182.084	, 0.343
3.5010	, 112.445	, 201.803	, 0.369
3.6010	, 126.505	, 220.731	, 0.393
3.7010	, 140.519	, 238.560	, 0.413
3.8010	, 154.929	, 256.103	, 0.432
3.9010	, 171.960	, 276.969	, 0.455
4.0010	, 186.178	, 292.375	, 0.468
4.1010	, 197.000	, 301.826	, 0.471
4.2010	, 205.073	, 306.715	, 0.468
4.3010	, 218.405	, 319.061	, 0.475
4.4010	, 230.243	, 328.711	, 0.478
4.5010	, 240.334	, 335.495	, 0.477
4.6010	, 248.538	, 339.406	, 0.472
4.7010	, 254.548	, 340.219	, 0.464
4.8010	, 257.841	, 337.442	, 0.450
4.9010	, 258.155	, 330.960	, 0.433
5.0010	, 256.273	, 321.977	, 0.412
5.1010	, 252.661	, 311.216	, 0.391
5.2010	, 247.472	, 298.964	, 0.368
5.3010	, 240.920	, 285.559	, 0.345
5.4010	, 233.283	, 271.387	, 0.322
5.5010	, 224.812	, 256.778	, 0.299
5.6010	, 217.620	, 244.126	, 0.279
5.7010	, 211.847	, 233.481	, 0.262
5.8010	, 209.944	, 227.395	, 0.251
5.9010	, 209.517	, 223.086	, 0.242
6.0010	, 208.737	, 218.553	, 0.233
6.1010	, 207.552	, 213.750	, 0.224
6.2010	, 205.910	, 208.639	, 0.215
6.3010	, 203.808	, 203.231	, 0.207
6.4010	, 201.289	, 197.584	, 0.198
6.5010	, 199.362	, 192.683	, 0.190
6.6010	, 200.003	, 190.374	, 0.185
6.7010	, 200.530	, 188.027	, 0.180
6.8010	, 200.928	, 185.630	, 0.175
6.9010	, 201.194	, 183.182	, 0.170
7.0010	, 201.335	, 180.692	, 0.165
7.1010	, 201.361	, 178.171	, 0.161
7.2010	, 201.288	, 175.633	, 0.156
7.3010	, 201.126	, 173.088	, 0.152
7.4010	, 200.886	, 170.545	, 0.148
7.5010	, 200.570	, 168.007	, 0.143
7.6010	, 200.182	, 165.475	, 0.139
7.7010	, 199.718	, 162.949	, 0.136
7.8010	, 199.175	, 160.422	, 0.132
7.9010	, 198.545	, 157.891	, 0.128
8.0010	, 197.822	, 155.350	, 0.124
8.1010	, 196.999	, 152.793	, 0.121
8.2010	, 196.072	, 150.220	, 0.117
8.3010	, 195.037	, 147.627	, 0.114
8.4010	, 193.895	, 145.016	, 0.111
8.5010	, 192.649	, 142.389	, 0.107
8.6010	, 191.301	, 139.749	, 0.104
8.7010	, 189.859	, 137.101	, 0.101
